,run_id,created_at,instance_id,class_key,period,n_items,cap_mean,status,status_label,objective,best_bound,gap,runtime_sec,has_instance,solver_version,gap_num,run_batch
277,c6c8a650-35be-4013-af49-117feaac5902,2025-09-01T14:10:58.155097+00:00,55eff739-0c67-473f-97a8-9defb96fd0d3,prof_T20_N10_DBMedium_TBO1_CVlow,20,10,740.25,9,TIME_LIMIT,35676.37613352206,35604.231159512165,0.0020222057795300946,80.00935101509094,true,lefo_mip_v2,0.0020222057795300946,1
268,9175ae16-6034-4668-a269-ade935108e2b,2025-09-01T14:13:09.838851+00:00,6830c695-af73-4848-9505-9d071875d6f8,prof_T20_N20_DBMedium_TBO2_CVmed,20,20,1444.45,9,TIME_LIMIT,75009.84475453758,74867.8566110864,0.0018929267740230573,80.02203702926636,true,lefo_mip_v2,0.0018929267740230573,1
262,846490cf-8d11-4c28-ba5f-d80ba99fd494,2025-09-01T14:15:56.968449+00:00,975c3b77-45c3-421d-a144-6291aa2394e3,prof_T20_N30_DBLoose_TBO4_CVhigh,20,30,2513.7,9,TIME_LIMIT,151841.6722180454,151557.0234562353,0.0018746419059541017,80.02546501159668,true,lefo_mip_v2,0.0018746419059541017,1
237,bdd6e91c-a450-47a0-92b1-8be02377a920,2025-09-01T14:35:53.879843+00:00,fd43f592-649c-4482-951c-806e3e08077d,class_T20_N10_DBMedium_TBO1_CVlow_Z2,20,10,737.45,9,TIME_LIMIT,34734.58464530049,34671.10638716672,0.0018275231669528475,80.0170488357544,true,lefo_mip_v2,0.0018275231669528475,1
278,f8f286e2-206a-43fa-81b1-73e78e614f27,2025-09-01T14:09:37.494867+00:00,f14e048e-6d94-426f-aee9-e0aa8fb5865e,prof_T20_N10_DBMedium_TBO1_CVlow,20,10,727.9,9,TIME_LIMIT,34480.7409358376,34432.63627336967,0.0013951168438475073,80.01849102973938,true,lefo_mip_v2,0.0013951168438475073,1
166,ee14e904-a2fa-452c-8b0a-9630d5796c50,2025-09-01T14:57:42.731058+00:00,d7a7f088-db53-4efd-9762-f5f8ce6d6bcf,class_T40_N20_DBLoose_TBO2_CVmed_Z3,40,20,1595.6,9,TIME_LIMIT,147861.57865791325,147665.40085419882,0.0013267665981594094,80.03762698173523,true,lefo_mip_v2,0.0013267665981594094,1
283,163617f7-465b-4d1d-b2df-1554b6799437,2025-09-01T14:05:17.456465+00:00,fca600f6-13e9-4fa2-b716-e8085068e672,prof_T20_N10_DBMedium_TBO1_CVlow,20,10,727.9,9,TIME_LIMIT,34480.74092467646,34437.717592631976,0.0012477496390946804,360.02348613739014,true,lefo_mip_v2,0.0012477496390946804,1
238,351ca6f2-be3f-4553-b2c3-66537087dc53,2025-09-01T14:34:33.110447+00:00,98c3a367-9e04-4b96-bb01-0614b229db89,class_T20_N10_DBMedium_TBO1_CVlow_Z2,20,10,703.5,9,TIME_LIMIT,33672.00260309379,33633.372054576656,0.0011472602022661708,80.01780104637146,true,lefo_mip_v2,0.0011472602022661708,1
165,41663c06-fc5a-403d-b99f-6ee1802aa314,2025-09-01T14:59:04.041162+00:00,b235ea22-1c06-4ac6-ab45-9617f18de853,class_T40_N20_DBLoose_TBO2_CVmed_Z3,40,20,1623.025,9,TIME_LIMIT,150161.05776353757,150081.86025322138,0.0005274171046457097,80.03490591049194,true,lefo_mip_v2,0.0005274171046457097,1
190,312a6f7d-cc73-4b74-8d65-aedaaa711b92,2025-09-01T14:51:39.799493+00:00,a8fa02bb-420b-4ad5-bb97-8885ff4dbf8a,class_T20_N30_DBMedium_TBO1_CVlow_Z2,20,30,2187.85,9,TIME_LIMIT,105555.34294995661,105501.15361418597,0.0005133736886851293,80.02784895896912,true,lefo_mip_v2,0.0005133736886851293,1
