,run_id,created_at,instance,class_key,period,n_items,cap_mean,status_label,solver_version,objective,best_bound,gap,runtime_sec,run_batch
26,326f9938-880f-4e42-a30d-55f7ddaf28db,2025-09-27T07:34:06.203077+00:00,ins#4,X332HB8,40,30,2709.7,TIME_LIMIT,lefo_mip_no_shelf_v1,817430.4189742225,801704.1014649603,0.019238723130706206,600.0355010032654,11
34,21390385-d2ce-4ac4-8597-4e51a3a88c3e,2025-09-27T06:13:28.799197+00:00,ins#5,X332LB8,40,30,2639.925,TIME_LIMIT,lefo_mip_no_shelf_v1,830206.9343291963,814249.5429905513,0.01922098055172054,600.0598800182343,11
42,2f2993e5-0f28-4333-aae2-892133a030be,2025-09-27T04:52:53.816217+00:00,ins#1,X332HB12,40,30,2333.4,TIME_LIMIT,lefo_mip_no_shelf_v1,1220021.5441680977,1196602.35083555,0.019195721128446565,600.0400769710541,11
62,81710878-a82d-4c00-8f40-33dd7151f5e3,2025-09-27T01:31:26.548653+00:00,ins#3,X331HB12,40,30,2976.5,TIME_LIMIT,lefo_mip_no_shelf_v1,1085183.475976391,1065626.1735674196,0.018022115929635516,600.0385189056396,11
52,23d7d3aa-3ac6-4d96-a3b0-61831de00e70,2025-09-27T03:12:09.635248+00:00,ins#2,X332HB8,40,30,2708.225,TIME_LIMIT,lefo_mip_no_shelf_v1,829207.1387087499,815411.8212341779,0.016636756765087916,600.0412759780884,11
14,319e4a33-451a-405f-a39d-23adcf8ffe07,2025-09-27T09:34:58.681949+00:00,ins#1,X332HB8,40,30,2322.475,TIME_LIMIT,lefo_mip_no_shelf_v1,776125.7334959662,763314.3566793707,0.01650683164297119,600.0590980052948,11
68,5bf723e8-56a0-4532-b4ac-91d31b8db0e0,2025-09-27T00:31:00.732462+00:00,ins#1,X332LB8,40,30,2267.3,TIME_LIMIT,lefo_mip_no_shelf_v1,666994.0670425332,656112.0314203583,0.016315041107376027,600.0669870376587,11
24,8d177015-1f4e-42c2-a2ce-14af652f28d1,2025-09-27T07:54:14.54613+00:00,ins#5,X332HB8,40,30,2750.175,TIME_LIMIT,lefo_mip_no_shelf_v1,801068.7261172666,789246.6751220857,0.014757848621155941,600.033016204834,11
40,456e4b97-761a-4ce5-aed9-c5e80dbbc08d,2025-09-27T05:13:03.233455+00:00,ins#4,X332LB8,40,30,2625.975,TIME_LIMIT,lefo_mip_no_shelf_v1,858832.4604849804,846681.2887954981,0.014148477437171571,600.0425238609314,11
51,a56140b5-e27b-4be6-95fc-9e321c0ae73d,2025-09-27T03:22:16.497052+00:00,ins#5,X331HB8,40,30,2957.4,TIME_LIMIT,lefo_mip_v1,773187.2057581202,762690.06042323,0.013576460211337207,600.0490009784698,11
58,2750b10a-e21f-4fae-9af9-1f24a54ef36f,2025-09-27T02:11:43.024835+00:00,ins#1,X331HB8,40,30,2477.95,TIME_LIMIT,lefo_mip_no_shelf_v1,656929.8768362215,649198.3313259687,0.011769209748060163,600.0505809783936,11
